date,Station,O3 ppb,NO ppb,NO2 ppb,NOx ppb,SO2 ppb,PM 10 ug/m3,CO ppm,wind_direction,wind speed,temperature,dewpoint_temperature,sea_level_pressure,station_pressure,relative_humidity
2017-03-24 05:00:00,S2,3.8,38,44,82,2.7,14,4,6.666666667,0.666666667,5.333333333,5.333333333,1014.4,842.4333333,100
2017-03-24 06:00:00,S2,7.4,65,46,111,2.6,27,10,10,1,4.9,4.9,1014.7,842.6,100
2017-03-24 07:00:00,S2,7.5,82,45,127,2.6,51,9,10,1,5.2,5.2,1014.666667,842.6666667,100
2017-03-24 08:00:00,S2,13.5,65,45,110,2.9,37,16,10,1,5.5,5.5,1014.633333,842.7333333,100
2017-03-24 09:00:00,S2,8.8,41,40,80,2.9,32,11,10,1,5.8,5.8,1014.6,842.8,100
2017-03-24 10:00:00,S2,10,7,27,33,2.2,15,9,6.666666667,0.666666667,5.9,5.9,1014.3,842.6333333,100
2017-03-24 11:00:00,S2,31,2,14,16,2.2,22,13,3.333333333,0.333333333,6,6,1014,842.4666667,100
2017-03-24 12:00:00,S2,28,2,14,17,2,19,13,0,0,6.1,6.1,1013.7,842.3,100
2017-03-24 13:00:00,S2,19,3,23,26,1.9,20,8,0,0,6.466666667,6.166666667,1013.933333,842.6,98
2017-03-24 14:00:00,S2,13,12,31,43,2.2,21,20,0,0,6.833333333,6.233333333,1014.166667,842.9,96
2017-03-24 15:00:00,S2,4,35,42,77,1.9,24,15,0,0,7.2,6.3,1014.4,843.2,94
2017-03-24 16:00:00,S2,3,30,41,71,2.7,38,27,0,0,7.376666667,6.1,1015.033333,843.4666667,96
2017-03-24 17:00:00,S2,5,34,44,78,2.8,31,19,0,0,7.553333333,5.9,1015.666667,843.7333333,98
2017-03-24 18:00:00,S2,14,20,39,58,2.4,21,12,0,0,7.73,5.7,1016.3,844,100
2017-03-24 19:00:00,S2,8,14,41,55,2.1,35,19,0,0,6.686666667,5.333333333,1016,843.7333333,100
2017-03-24 20:00:00,S2,5,25,44,69,2.3,25,12,0,0,5.643333333,4.966666667,1015.7,843.4666667,100
2017-03-24 21:00:00,S2,3.6,49,42,91,2.9,17,17,0,0,4.6,4.6,1015.4,843.2,100
2017-03-24 22:00:00,S2,10.4,55,41,96,4.9,34,21,0,0,4.466666667,4.433333333,1015.4,843.1666667,100
2017-03-24 23:00:00,S2,3.8,73,42,115,4.1,37,37,0,0,4.333333333,4.266666667,1015.4,843.1333333,100
2017-03-25 00:00:00,S2,4.8,104,44,148,2.5,28,38,0,0,4.2,4.1,1015.4,843.1,100
2017-03-21 00:00:00,S3,55.5,6.9,23.6,30.4,18,44,10,135.3771956,1.521198047,17.59676647,-0.12951298,1011.408397,858.6199035,36.37604191
2017-03-21 01:00:00,S3,6,14.7,44.3,79.9,6.1,34.8,30.6,135.3771956,1.521198047,17.59676647,-0.12951298,1011.408397,858.6199035,36.37604191
2017-03-21 02:00:00,S3,55.2,11.2,24.8,36,17,47,14,135.3771956,1.521198047,17.59676647,-0.12951298,1011.408397,858.6199035,36.37604191
2017-03-21 03:00:00,S3,52,11.8,23.7,35.3,17,41,12,135.3771956,1.521198047,17.59676647,-0.12951298,1011.408397,858.6199035,36.37604191
2017-03-21 04:00:00,S3,13.3,49.1,44.8,94,16,42,18,170.2514637,2.680798698,15.19784431,-1.953008653,1010.305598,856.613269,34.91736128
2017-03-21 05:00:00,S3,15.7,51.5,47.7,98.7,17,42,22,205.1257319,3.840399349,12.79892216,-3.776504327,1009.202799,854.6066345,33.45868064
2017-03-21 06:00:00,S3,21.9,33.1,38.5,71.5,17,51,18,240,5,10.4,-5.6,1008.1,852.6,32
2017-03-21 07:00:00,S3,30,25.8,34.2,59.7,17,37,18,243.3333333,5,11.33333333,-5.866666667,1007.966667,852.5333333,29.66666667
2017-03-21 08:00:00,S3,25.7,46.5,41.9,88.2,17,45,17,246.6666667,5,12.26666667,-6.133333333,1007.833333,852.4666667,27.33333333
2017-03-21 09:00:00,S3,28.2,31.9,34.5,66.2,17,54,18,250,5,13.2,-6.4,1007.7,852.4,25
2017-03-21 10:00:00,S3,29.4,20.3,31.3,51.5,16,48,18,243.3333333,5,13.26666667,-5.833333333,1008.573333,852.2333333,26
2017-03-21 11:00:00,S3,25.6,32.5,40.4,72.6,16,41,21,236.6666667,5,13.33333333,-5.266666667,1009.446667,852.0666667,27
2017-03-21 12:00:00,S3,16.8,46.3,67.2,113.3,16,29,23,230,5,13.4,-4.7,1010.32,851.9,28
